<Mass>		ref.	F500	err500	F200	err200	Fvir	errvir	F3_R500	err3_R500  Notes
5.1e+13		1	0.067	0.005	0.070	0.008	0.117	0.015	nan	nan	   $
1.2e+14		1	0.080	0.003	0.103	0.005	0.130	0.007	nan	nan	   $
3.0e+14		1	0.103	0.008	0.125	0.01	0.147	0.01	nan	nan	   $
7.1e+14		1	0.124	0.008	0.135	0.01	0.152	0.008	nan	nan	   $
8e+14		2	0.125	0.005	0.137	0.003	0.140	0.005	0.145	0.01	   $
5e+14		3	0.132	0.005	0.176	0.009	nan	nan	nan	nan	   Avgd.
5e+14		3	0.115	0.01	0.134	0.011	nan	nan	nan	nan	   CC

#1 - Rasheed et al. 2010 2010arXiv1007.1980R
#2 - Planck Int V - 2013A&A...550A.131P and Corr
#3 - Eckert et al. 2013 2013A&A...551A..23E
